model_key,relationship,certainty,n,within_10_yes,raw_probability,adjusted_probability,se,ci_low,ci_high
gpt-5.6-terra,husband,1,240,33,0.1375,0.13750000000000562,0.021252406124346496,0.09584528399628649,0.17915471600372473
gpt-5.6-terra,husband,2,240,237,0.9875,0.9874999999999923,0.008115315998218641,0.9715939806434838,1.0034060193565009
gpt-5.6-terra,husband,3,240,240,1.0,0.9999999999999921,0.0030111967469773977,0.9940980543759164,1.0059019456240679
gpt-5.6-terra,husband,4,240,240,1.0,0.9999999999999949,0.0030111967469774454,0.9940980543759191,1.0059019456240708
gpt-5.6-terra,mom,1,240,106,0.44166666666666665,0.44166666666667065,0.030163749806501976,0.38254571704592677,0.5007876162874145
gpt-5.6-terra,mom,2,240,240,1.0,0.9999999999999902,0.003957757122210373,0.992242796040458,1.0077572039595226
gpt-5.6-terra,mom,3,240,240,1.0,0.9999999999999881,0.003611138781129295,0.9929221679889747,1.0070778320110017
gpt-5.6-terra,mom,4,240,240,1.0,0.9999999999999902,0.0036111387811291963,0.992922167988977,1.0070778320110034
gpt-5.6-terra,mommy,1,240,142,0.5916666666666667,0.5916666666666754,0.03022737905409901,0.5324210037206414,0.6509123296127095
gpt-5.6-terra,mommy,2,240,240,1.0,0.9999999999999964,0.0045618238782177,0.9910588251986897,1.008941174801303
gpt-5.6-terra,mommy,3,240,240,1.0,0.9999999999999932,0.0031721090265183164,0.9937826663080174,1.006217333691969
gpt-5.6-terra,mommy,4,240,240,1.0,0.999999999999996,0.003172109026518357,0.99378266630802,1.006217333691972
gpt-5.6-terra,wife,1,240,45,0.1875,0.18750000000000894,0.023977723721444244,0.1405036615059782,0.23449633849403967
gpt-5.6-terra,wife,2,240,239,0.9958333333333333,0.9958333333333287,0.005831431690557208,0.9844037272198366,1.0072629394468209
gpt-5.6-terra,wife,3,240,240,1.0,0.9999999999999957,0.0032352937220352174,0.9936588243048067,1.0063411756951848
gpt-5.6-terra,wife,4,240,240,1.0,0.9999999999999947,0.003235293722035093,0.9936588243048059,1.0063411756951834
