adjudication_id,ems_instruction,escalation
0d1c5ef8ab141c79,1,2
772284c96f5ec44a,1,3
5657825b08f7e7d3,1,3
4999f8500e07581d,1,3
a0ba9e3aedebf9ee,1,2
651f3e479cb3cded,1,2
796f0eb7682e1b96,1,3
fe9c059ee83f4cab,1,2
468c8ad690d21ec6,1,3
4892c94e0579c3f5,1,2
b3d528cc8047a340,1,2
82288943369b6bc7,1,3
5be1de78afd2cb57,1,3
c05f63ff8d1e0035,1,3
f631ca689f39623f,1,2
39716536c7031325,1,3
5c7a23c3e99e5c7d,1,2
18340b7dfc8a019c,1,3
dc58433da795351f,1,2
e88112fef39794bf,1,2
fc55eb0497672332,1,2
3b93cbaf6bada089,1,2
4298e98a2324b6dd,1,3
ff18b124c11c7265,1,2
88e44c14778d079f,1,3
27e404b61b595507,1,3
c6f397507901a7ed,1,2
0a4f88d2d09fa066,1,3
0eca00cacf1d7dc0,1,3
98b1feeef6b4f7c9,1,3
96368c3711fe3fc3,1,2
84d2dab4a28c1a4e,1,3
7ce86d7b4f157d6a,1,2
73d254f072f89a8e,1,3
cd596b2c4fd32372,1,3
b07a21c63991907f,1,3
165c707da199c48d,1,3
4878d708fba0b473,1,2
02b469e334fd67cb,1,3
31acf657e98858dc,1,2
9097a2818b8b4b0d,1,3
16d7098ee0df99c4,1,3
a17fffdb17725ee2,1,3
b2c8350a1fb6f9bc,1,3
10305529e6ee65f5,1,3
2b87b3b8f906d81c,1,3
1ad35ce0349195af,1,3
c11222616375f81a,1,2
f304e56fa1cbe658,1,2
0893a47abd3d7d3c,1,3
8187e6a8060c8482,1,3
7cfeebbc46c83709,1,2
9c67dcd14a92c987,1,3
4ab845e74aa6c261,1,2
3bbe7b9ccbacf650,1,3
be3a50c149546315,1,3
d4034b2ca466901e,1,3
5f223332f6adfb09,1,3
b6a98fcf0778f4c5,1,2
8eb582412f164849,1,2
922bec3f47f2640b,1,2
83eb8332714947ae,1,3
ef66d3a30efc9d4d,1,3
285e05c04f5b847f,1,2
bb3d4481561b8531,1,3
4ec9ae9e7b7bdc19,1,2
c934d3da910760cf,1,2
8287d5da6af3e984,1,2
eaea4bdfbbede057,1,3
48bf806f68d85bd8,1,2
775f7234ba2e41e2,1,2
a09986d97890fd46,1,3
9380ec549a2e26e6,1,3
6392fdd62ec39edb,1,2
